cod_clasedpto	nom_clasedpto	cod_tipodpto	nom_tipodpto	Unidad_Operativa	Unidad_Operativa_Desc	fuente
453	SECRETARÍA DE ASUNTOS JURÍDICOS	RECTORADO	Secretaría De Asuntos Jurídicos	RECTORADO	Secretaría De Asuntos Jurídicos	MAGIX
376	SECRETARÍA DE ASUNTOS JURÍDICOS	RECTORADO	Secretaría De Asuntos Jurídicos	RECTORADO	Secretaría De Asuntos Jurídicos	MAGIX
327	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD	SIEC	Secretaria De Informacion Estrategica Y Calidad	SIEC	Secretaria De Informacion Estrategica Y Calidad	MAGIX
259	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD	SIEC	Secretaria De Informacion Estrategica Y Calidad	SIEC	Secretaria De Informacion Estrategica Y Calidad	MAGIX
360	SECRETARIA DE INFORMACION ESTRATÉGICA Y CALIDAD	SIEC	Secretaria De Informacion Estratégica Y Calidad	SIEC	Secretaria De Informacion Estratégica Y Calidad	MAGIX
293	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD	SIEC	Secretaria De Informacion Estrategica Y Calidad	SIEC	Secretaria De Informacion Estrategica Y Calidad	MAGIX
227	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD	SIEC	Secretaria De Informacion Estrategica Y Calidad	SIEC	Secretaria De Informacion Estrategica Y Calidad	MAGIX
241	SECRETARIA SEDE CENTRO	SMVDYGRAL	Secretaria Sede Centro	SMVDYGRAL	Secretaria Sede Centro	MAGIX
422	SEDES MONTEVIDEO	SMVDYGRAL	Sedes Montevideo	SMVDYGRAL	Sedes Montevideo	MAGIX
316	GENERALES	SMVDYGRAL	Generales	SMVDYGRAL	Generales	MAGIX
215	SEDES MONTEVIDEO	SMVDYGRAL	Sedes Montevideo	SMVDYGRAL	Sedes Montevideo	MAGIX
213	GENERALES	SMVDYGRAL	Generales	SMVDYGRAL	Generales	MAGIX
246	GENERALES	SMVDYGRAL	Generales	SMVDYGRAL	Generales	MAGIX
420	GENERALES	SMVDYGRAL	Generales	SMVDYGRAL	Generales	MAGIX
318	SEDES MONTEVIDEO	SMVDYGRAL	Sedes Montevideo	SMVDYGRAL	Sedes Montevideo	MAGIX
207	SECRETARIA SEDE CENTRO	SMVDYGRAL	Secretaria Sede Centro	SMVDYGRAL	Secretaria Sede Centro	MAGIX
139	SECRETARIA SEDE CENTRO	SMVDYGRAL	Secretaria Sede Centro	SMVDYGRAL	Secretaria Sede Centro	MAGIX
280	GENERALES	SMVDYGRAL	Generales	SMVDYGRAL	Generales	MAGIX
179	GENERALES	SMVDYGRAL	Generales	SMVDYGRAL	Generales	MAGIX
