cod_clasedpto	nom_clasedpto	cod_tipodpto	nom_tipodpto	Unidad_Operativa	Unidad_Operativa_Desc	fuente
364	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA                                                         	VCU       	Vicerrectoría De La Comunidad Universitaria                                                         	VCU       	Vicerrectoría De La Comunidad Universitaria                                                         	MAGIX
363	SERVICIO DE ATENCIÓN ESTUDIANTIL                                                                    	VCU       	Servicio De Atención Estudiantil                                                                    	VCU       	Servicio De Atención Estudiantil                                                                    	MAGIX
362	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI                                                       	VCU       	Dirección De Asuntos Internacionales Y Alumni                                                       	VCU       	Dirección De Asuntos Internacionales Y Alumni                                                       	MAGIX
361	DCI-SECRETARÍA DE COMUNICACIÓN                                                                      	VCU       	Dci-Secretaría De Comunicación                                                                      	VCU       	Dci-Secretaría De Comunicación                                                                      	MAGIX
360	SECRETARIA DE INFORMACION ESTRATÉGICA Y CALIDAD                                                     	SIEC	Secretaria De Informacion Estratégica Y Calidad                                                     	SIEC	Secretaria De Informacion Estratégica Y Calidad                                                     	MAGIX
359	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN                                                                	VRAD      	Dirección De Sistemas De Información                                                                	VRAD      	Dirección De Sistemas De Información                                                                	MAGIX
358	ESCUELA DE NEGOCIOS                                                                                 	ISEDE	Escuela De Negocios                                                                                 	ISEDE	Escuela De Negocios                                                                                 	MAGIX
357	CENTRO DE IDIOMAS                                                                                   	VPA       	Centro De Idiomas                                                                                   	VPA       	Centro De Idiomas                                                                                   	MAGIX
356	VICERRECTORÍA DE GESTIÓN ECONÓMICA Y DESARROLLO                                                     	VRAD      	Vicerrectoría De Gestión Económica Y Desarrollo                                                     	VRAD      	Vicerrectoría De Gestión Económica Y Desarrollo                                                     	MAGIX
355	VII Y VPA (EX-VRAC)                                                                                 	VII	Vii Y Vpa (Ex-Vrac)                                                                                 	VII	Vii Y Vpa (Ex-Vrac)                                                                                 	MAGIX
354	DIRECCIÓN DE ASUNTOS ESTUDIANTILES                                                                  	VCU       	Dirección De Asuntos Estudiantiles                                                                  	VCU       	Dirección De Asuntos Estudiantiles                                                                  	MAGIX
353	REGISTRO ACADÉMICO                                                                                  	RECTORÍA                                                                                            	Registro Académico                                                                                  	RECTORÍA                                                                                            	Registro Académico                                                                                  	MAGIX
352	RECTORÍA                                                                                            	RECTORÍA                                                                                            	Rectoría                                                                                            	RECTORÍA                                                                                            	Rectoría                                                                                            	MAGIX
351	SEDES MONTEVIDEO                                                                                    	SMVDYGRAL	Sedes Montevideo                                                                                    	SMVDYGRAL	Sedes Montevideo                                                                                    	MAGIX
350	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL                                                            	CDTP	Centro De Desarrollo Técnico Profesional                                                            	CDTP	Centro De Desarrollo Técnico Profesional                                                            	MAGIX
349	GENERALES                                                                                           	SMVDYGRAL	Generales                                                                                           	SMVDYGRAL	Generales                                                                                           	MAGIX
197	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	MAGIX
347	DIRECCIÓN DE GESTIÓN HUMANA                                                                         	VRAD      	Dirección De Gestión Humana                                                                         	VRAD      	Dirección De Gestión Humana                                                                         	MAGIX
346	DIRECCIÓN DE PLANTA FÍSICA                                                                          	VRAD      	Dirección De Planta Física                                                                          	VRAD      	Dirección De Planta Física                                                                          	MAGIX
345	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA                                                               	VRAD      	Dirección Administrativa Y Financiera                                                               	VRAD      	Dirección Administrativa Y Financiera                                                               	MAGIX
344	DCI-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL                                                         	VCU       	Dci-Dirección De Comunicación Institucional                                                         	VCU       	Dci-Dirección De Comunicación Institucional                                                         	MAGIX
343	SISTEMAS DE BIBLIOTECA                                                                              	VII	Sistemas De Biblioteca                                                                              	VII	Sistemas De Biblioteca                                                                              	MAGIX
342	SECRETARÍA DE ASUNTOS JURÍDICOS                                                                     	RECTORÍA                                                                                            	Secretaría De Asuntos Jurídicos                                                                     	RECTORÍA                                                                                            	Secretaría De Asuntos Jurídicos                                                                     	MAGIX
341	SEDE LITORAL NORTE - SALTO                                                                          	VPA       	Sede Litoral Norte - Salto                                                                          	VPA       	Sede Litoral Norte - Salto                                                                          	MAGIX
340	DCI-SECRETARÍA DE PROMOCIÓN                                                                         	VCU       	Dci-Secretaría De Promoción                                                                         	VCU       	Dci-Secretaría De Promoción                                                                         	MAGIX
339	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	VPA       	Sede Punta Del Este- Maldonado                                                                      	VPA       	Sede Punta Del Este- Maldonado                                                                      	MAGIX
338	DCI-SECRETARÍA DE ADMISIÓN                                                                          	VCU       	Dci-Secretaría De Admisión                                                                          	VCU       	Dci-Secretaría De Admisión                                                                          	MAGIX
163	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	MAGIX
129	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	MAGIX
444	FACULTAD DE DERECHO                                                                                 	FD	Facultad De Derecho                                                                                 	FD	Facultad De Derecho                                                                                 	MAGIX
404	FACULTAD DE DERECHO                                                                                 	FD	Facultad De Derecho                                                                                 	FD	Facultad De Derecho                                                                                 	MAGIX
367	FACULTAD DE DERECHO                                                                                 	FD	Facultad De Derecho                                                                                 	FD	Facultad De Derecho                                                                                 	MAGIX
333	FACULTAD DE DERECHO                                                                                 	FD	Facultad De Derecho                                                                                 	FD	Facultad De Derecho                                                                                 	MAGIX
331	DEPARTAMENTO DE FORMACIÓN HUMANÍSTICA                                                               	VII-DPTOS	Departamento De Formación Humanística                                                               	VII-DPTOS	Departamento De Formación Humanística                                                               	MAGIX
330	SERVICIO DE ATENCIÓN ESTUDIANTIL                                                                    	VCU       	Servicio De Atención Estudiantil                                                                    	VCU       	Servicio De Atención Estudiantil                                                                    	MAGIX
329	DRIC-SECRETARÍA DE RELACIONES INSTITUCIONALES                                                       	VCU       	Dric-Secretaría De Relaciones Institucionales                                                       	VCU       	Dric-Secretaría De Relaciones Institucionales                                                       	MAGIX
328	DRIC-SECRETARÍA DE COMUNICACIÓN                                                                     	VCU       	Dric-Secretaría De Comunicación                                                                     	VCU       	Dric-Secretaría De Comunicación                                                                     	MAGIX
327	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD                                                     	SIEC	Secretaria De Informacion Estrategica Y Calidad                                                     	SIEC	Secretaria De Informacion Estrategica Y Calidad                                                     	MAGIX
326	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN                                                                	VRAD      	Dirección De Sistemas De Información                                                                	VRAD      	Dirección De Sistemas De Información                                                                	MAGIX
325	ESCUELA DE NEGOCIOS                                                                                 	ISEDE	Escuela De Negocios                                                                                 	ISEDE	Escuela De Negocios                                                                                 	MAGIX
324	CENTRO DE IDIOMAS                                                                                   	VPA       	Centro De Idiomas                                                                                   	VPA       	Centro De Idiomas                                                                                   	MAGIX
323	VICERRECTORIA DE GESTION ECONOMICA Y DESARROLLO                                                     	VRAD      	Vicerrectoria De Gestion Economica Y Desarrollo                                                     	VRAD      	Vicerrectoria De Gestion Economica Y Desarrollo                                                     	MAGIX
322	VICERRECTORÍA ACADÉMICA                                                                             	VPA	Vicerrectoría Académica                                                                             	VPA	Vicerrectoría Académica                                                                             	MAGIX
321	VICERRECTORÍA DEL MEDIO UNIVERSITARIO                                                               	VCU       	Vicerrectoría Del Medio Universitario                                                               	VCU       	Vicerrectoría Del Medio Universitario                                                               	MAGIX
320	REGISTRO ACADÉMICO                                                                                  	RECTORÍA                                                                                            	Registro Académico                                                                                  	RECTORÍA                                                                                            	Registro Académico                                                                                  	MAGIX
319	RECTORÍA                                                                                            	RECTORÍA                                                                                            	Rectoría                                                                                            	RECTORÍA                                                                                            	Rectoría                                                                                            	MAGIX
318	SEDES MONTEVIDEO                                                                                    	SMVDYGRAL	Sedes Montevideo                                                                                    	SMVDYGRAL	Sedes Montevideo                                                                                    	MAGIX
