CENTRO_COSTO_MGX_COD_AGRUPACION	CENTRO_COSTO_MGX_DESC_AREA	DESCR_CORTA
327	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD                                                     	SIEC
328	DRIC-SECRETAR�A DE COMUNICACI�N                                                                     	DRIC
329	DRIC-SECRETAR�A DE RELACIONES INSTITUCIONALES                                                       	DRIC
330	SERVICIO DE ATENCI�N ESTUDIANTIL                                                                    	SAE
331	DEPARTAMENTO DE FORMACI�N HUMAN�STICA                                                               	DFH
332	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
333	FACULTAD DE DERECHO                                                                                 	FD
334	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
335	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
336	FACULTAD DE PSICOLOG�A                                                                              	FPSIC
337	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
338	DCI-SECRETAR�A DE ADMISI�N                                                                          	DCI
339	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	PESTE     
340	DCI-SECRETAR�A DE PROMOCI�N                                                                         	DCI
341	SEDE LITORAL NORTE - SALTO                                                                          	SALTO     
342	SECRETAR�A DE ASUNTOS JUR�DICOS                                                                     	JURIDICA
343	SISTEMAS DE BIBLIOTECA                                                                              	BIBLIOTECA
344	DCI-DIRECCI�N DE COMUNICACI�N INSTITUCIONAL                                                         	DCI
345	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
346	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
347	DIRECCI�N DE GESTI�N HUMANA                                                                         	DGH       
348	FACULTAD DE ENFERMER�A Y TECNOLOG�AS DE LA SALUD                                                    	FETS
349	GENERALES                                                                                           	Generales 
350	CENTRO DE DESARROLLO T�CNICO PROFESIONAL                                                            	CDTP
351	SEDES MONTEVIDEO                                                                                    	MDEO
352	RECTOR�A                                                                                            	Rector�a  
353	REGISTRO ACAD�MICO                                                                                  	ORA
354	DIRECCI�N DE ASUNTOS ESTUDIANTILES                                                                  	DAE       
355	VII Y VPA (EX-VRAC)                                                                                 	VRAC
356	VICERRECTOR�A DE GESTI�N ECON�MICA Y DESARROLLO                                                     	VGED
357	CENTRO DE IDIOMAS                                                                                   	DPING     
358	ESCUELA DE NEGOCIOS                                                                                 	ESCNEG
359	DIRECCI�N DE SISTEMAS DE INFORMACI�N                                                                	DSI       
360	SECRETARIA DE INFORMACION ESTRAT�GICA Y CALIDAD                                                     	SIEC
361	DCI-SECRETAR�A DE COMUNICACI�N                                                                      	DCI       
